RedField(Td)          RedDiff((ms)^-1)      RedMob((msV)^-1)      DriftVelocity(ms^-1)  RedTow(m^2)           RedAtt(m^2)           RedDiffE(eV(ms)^-1)   RedMobE(eV(msV)^-1)   MeanE(eV)             CharE(eV)             EleTemp(eV)           
+1.33995526965934e+01 +7.70094588301789e+24 +1.01019510337577e+24 +1.35361625215242e+04 +9.40880235181812e-27 +0.00000000000000e+00 +3.06658625704156e+25 +7.04440983863421e+24 +5.41673962074941e+00 +7.62322630280393e+00 +3.61115974716627e+00 
+1.37127243439840e+01 +7.69668796386707e+24 +1.00920678959773e+24 +1.38389745118308e+04 +1.22499840150583e-26 +0.00000000000000e+00 +3.06840984265911e+25 +7.04478085962308e+24 +5.42374500934007e+00 +7.62647263494427e+00 +3.61583000622671e+00 
+1.40332153760548e+01 +7.69227057775559e+24 +1.00811906749105e+24 +1.41471519988095e+04 +1.58618207147805e-26 +0.00000000000000e+00 +3.07027376174000e+25 +7.04505447987316e+24 +5.43084439564722e+00 +7.63031949876681e+00 +3.62056293043148e+00 
+1.43611968599908e+01 +7.68725617210990e+24 +1.00727038005440e+24 +1.44656082191990e+04 +2.04259298518136e-26 +0.00000000000000e+00 +3.07212390878564e+25 +7.04546388223916e+24 +5.43793741565143e+00 +7.63177030152987e+00 +3.62529161043429e+00 
+1.46968438611245e+01 +7.68252356441462e+24 +1.00599148140868e+24 +1.47848997278847e+04 +2.61702269745973e-26 +0.00000000000000e+00 +3.07407250829729e+25 +7.04555363655818e+24 +5.44524078199300e+00 +7.63676801085514e+00 +3.63016052132867e+00 
+1.50403355363803e+01 +7.67763032423917e+24 +1.00461993092732e+24 +1.51098208476820e+04 +3.33598035510510e-26 +0.00000000000000e+00 +3.07606603188546e+25 +7.04555406019817e+24 +5.45265558529893e+00 +7.64232331838402e+00 +3.63510372353262e+00 
+1.53918552299021e+01 +7.67257649355397e+24 +1.00315803253916e+24 +1.54404632095562e+04 +4.23140569404333e-26 +0.00000000000000e+00 +3.07810594077075e+25 +7.04546824539341e+24 +5.46018710254561e+00 +7.64842252634250e+00 +3.64012473503040e+00 
+1.57515905709162e+01 +7.66736228191168e+24 +1.00160808134381e+24 +1.57769204098486e+04 +5.34126842584750e-26 +0.00000000000000e+00 +3.08019367284750e+25 +7.04529944083119e+24 +5.46784038717659e+00 +7.65505233506581e+00 +3.64522692478439e+00 
+1.61197335738816e+01 +7.66198804474392e+24 +9.99972358744691e+23 +1.61192880042103e+04 +6.71049621407313e-26 +0.00000000000000e+00 +3.08233064865696e+25 +7.04505103406493e+24 +5.47562029382193e+00 +7.66219983756586e+00 +3.65041352921462e+00 
+1.64964807409802e+01 +7.65656213871924e+24 +9.98343220525411e+23 +1.64691497102856e+04 +8.37310676143381e-26 +0.00000000000000e+00 +3.08451025180384e+25 +7.04478836371263e+24 +5.48349191612367e+00 +7.66926842523127e+00 +3.65566127741578e+00 
+1.68820331670036e+01 +7.65087067166137e+24 +9.96542957970160e+23 +1.68236712687961e+04 +1.04240983023637e-25 +0.00000000000000e+00 +3.08674966744623e+25 +7.04439248191264e+24 +5.49153813949447e+00 +7.67741180695841e+00 +3.66102542632965e+00 
+1.72765966466904e+01 +7.64502097643389e+24 +9.94663660218283e+23 +1.71844028567119e+04 +1.29207908605573e-25 +0.00000000000000e+00 +3.08904252132113e+25 +7.04392789175561e+24 +5.49972451912654e+00 +7.68603627758570e+00 +3.66648301275103e+00 
+1.76803817845721e+01 +7.63901383702996e+24 +9.92707531418135e+23 +1.75514481558927e+04 +1.59472199185684e-25 +0.00000000000000e+00 +3.09139021081248e+25 +7.04339841695927e+24 +5.50805530679484e+00 +7.69513033321831e+00 +3.67203687119656e+00 
+1.80936041073872e+01 +7.63285011462512e+24 +9.90676752978729e+23 +1.79249129667889e+04 +1.96006949231689e-25 +0.00000000000000e+00 +3.09379413714567e+25 +7.04280796878067e+24 +5.51653464301026e+00 +7.70468277536034e+00 +3.67768976200684e+00 
+1.85164841791215e+01 +7.62653073971220e+24 +9.88573483857383e+23 +1.83049052737443e+04 +2.39934473187824e-25 +0.00000000000000e+00 +3.09625570825300e+25 +7.04216054107353e+24 +5.52516656873919e+00 +7.71468268595847e+00 +3.68344437915946e+00 
+1.89492477187382e+01 +7.61731613043820e+24 +9.86310693568847e+23 +1.86898456600766e+04 +2.92532552723823e-25 +0.00000000000000e+00 +3.09871914540937e+25 +7.04138206129375e+24 +5.53397107224073e+00 +7.72303918035792e+00 +3.68931404816048e+00 
+1.93921257206583e+01 +7.61069428579239e+24 +9.84068894446707e+23 +1.90831877188997e+04 +3.55295775719453e-25 +0.00000000000000e+00 +3.10130067821867e+25 +7.04063215392553e+24 +5.54292077113453e+00 +7.73390392556967e+00 +3.69528051408969e+00 
+1.98453545780580e+01 +7.60392015924557e+24 +9.81760986325114e+23 +1.94833948845259e+04 +4.29898602169329e-25 +0.00000000000000e+00 +3.10394414621187e+25 +7.03983773563055e+24 +5.55203467839760e+00 +7.74518468869724e+00 +3.70135645226507e+00 
